,ID,Score,Program
378,KUCAT_2019_204,699,civil
379,KUCAT_2019_205,494,civil
380,KUCAT_2019_206,725,ce
381,KUCAT_2019_207,496,civil
382,KUCAT_2019_208,707,geo
383,KUCAT_2019_209,888,chem
384,KUCAT_2019_210,501,ce
385,KUCAT_2019_211,884,auto
386,KUCAT_2019_212,1117,civil
387,KUCAT_2019_213,490,ce
388,KUCAT_2019_214,886,design
389,KUCAT_2019_215,697,pharma
390,KUCAT_2019_216,961,civil
391,KUCAT_2019_217,670,communication
392,KUCAT_2019_218,654,arch
393,KUCAT_2019_219,824,civil
394,KUCAT_2019_176,513,arch
395,KUCAT_2019_177,951,ce
396,KUCAT_2019_178,752,geo
397,KUCAT_2019_179,479,design
398,KUCAT_2019_180,475,pharma
399,KUCAT_2019_181,707,ce
400,KUCAT_2019_182,780,arch
401,KUCAT_2019_183,715,ce
402,KUCAT_2019_184,741,cs
403,KUCAT_2019_185,801,civil
404,KUCAT_2019_186,1064,ce
405,KUCAT_2019_187,864,hydro
406,KUCAT_2019_188,712,ce
407,KUCAT_2019_189,756,civil
408,KUCAT_2019_190,560,bio
409,KUCAT_2019_191,686,civil
410,KUCAT_2019_192,881,ce
411,KUCAT_2019_193,489,pharma
412,KUCAT_2019_194,671,civil
413,KUCAT_2019_195,945,cs
414,KUCAT_2019_196,774,ce
415,KUCAT_2019_197,851,arch
416,KUCAT_2019_198,462,energy
417,KUCAT_2019_199,675,pharma
418,KUCAT_2019_200,497,bio
419,KUCAT_2019_201,815,civil
420,KUCAT_2019_202,773,civil
421,KUCAT_2019_203,837,communication
422,KUCAT_2019_204,699,civil
423,KUCAT_2019_205,494,civil
424,KUCAT_2019_206,725,ce
425,KUCAT_2019_207,496,civil
426,KUCAT_2019_208,707,geo
427,KUCAT_2019_209,888,chem
428,KUCAT_2019_210,501,ce
429,KUCAT_2019_211,884,auto
430,KUCAT_2019_212,1117,civil
431,KUCAT_2019_213,490,ce
432,KUCAT_2019_214,886,design
433,KUCAT_2019_215,697,pharma
434,KUCAT_2019_216,961,civil
435,KUCAT_2019_217,670,communication
436,KUCAT_2019_218,654,arch
437,KUCAT_2019_219,824,civil
438,KUCAT_2019_220,595,civil
439,KUCAT_2019_221,478,ce
440,KUCAT_2019_222,1147,ce
441,KUCAT_2019_223,475,civil
442,KUCAT_2019_224,516,ce
443,KUCAT_2019_225,1020,ce
444,KUCAT_2019_226,959,ce
445,KUCAT_2019_227,959,ce
446,KUCAT_2019_228,976,ce
447,KUCAT_2019_229,871,geo
448,KUCAT_2019_230,506,geo
449,KUCAT_2019_231,620,ce
450,KUCAT_2019_232,769,ce
451,KUCAT_2019_233,802,auto
452,KUCAT_2019_234,510,auto
453,KUCAT_2019_235,876,ce
454,KUCAT_2019_236,532,civil
455,KUCAT_2019_237,711,geo
456,KUCAT_2019_238,483,civil
457,KUCAT_2019_239,525,pharma
458,KUCAT_2019_240,376,pharma
459,KUCAT_2019_241,747,pharma
460,KUCAT_2019_242,414,pharma
461,KUCAT_2019_243,802,civil
462,KUCAT_2019_244,570,civil
463,KUCAT_2019_245,867,civil
464,KUCAT_2019_246,740,civil
465,KUCAT_2019_247,625,civil
466,KUCAT_2019_248,981,civil
467,KUCAT_2019_249,786,civil
468,KUCAT_2019_250,997,geo
469,KUCAT_2019_251,540,civil
470,KUCAT_2019_252,705,civil
471,KUCAT_2019_253,546,civil
472,KUCAT_2019_254,910,arch
473,KUCAT_2019_255,579,pharma
474,KUCAT_2019_256,671,power
475,KUCAT_2019_257,931,hydro
476,KUCAT_2019_258,874,ce
477,KUCAT_2019_259,920,communication
478,KUCAT_2019_260,495,ce
479,KUCAT_2019_261,626,ce
480,KUCAT_2019_262,649,ce
481,KUCAT_2019_263,863,civil
482,KUCAT_2019_220,595,civil
483,KUCAT_2019_221,478,ce
484,KUCAT_2019_222,1147,ce
485,KUCAT_2019_223,475,civil
486,KUCAT_2019_224,516,ce
487,KUCAT_2019_225,1020,ce
488,KUCAT_2019_226,959,ce
489,KUCAT_2019_227,959,ce
490,KUCAT_2019_228,976,ce
491,KUCAT_2019_229,871,geo
492,KUCAT_2019_230,506,geo
493,KUCAT_2019_231,620,ce
494,KUCAT_2019_232,769,ce
495,KUCAT_2019_233,802,auto
496,KUCAT_2019_234,510,auto
497,KUCAT_2019_235,876,ce
498,KUCAT_2019_236,532,civil
499,KUCAT_2019_237,711,geo
500,KUCAT_2019_238,483,civil
501,KUCAT_2019_239,525,pharma
502,KUCAT_2019_240,376,pharma
503,KUCAT_2019_241,747,pharma
504,KUCAT_2019_242,414,pharma
505,KUCAT_2019_243,802,civil
506,KUCAT_2019_244,570,civil
507,KUCAT_2019_245,867,civil
508,KUCAT_2019_246,740,civil
509,KUCAT_2019_247,625,civil
510,KUCAT_2019_248,981,civil
511,KUCAT_2019_249,786,civil
512,KUCAT_2019_250,997,geo
513,KUCAT_2019_251,540,civil
514,KUCAT_2019_252,705,civil
515,KUCAT_2019_253,546,civil
516,KUCAT_2019_254,910,arch
517,KUCAT_2019_255,579,pharma
518,KUCAT_2019_256,671,power
519,KUCAT_2019_257,931,hydro
520,KUCAT_2019_258,874,ce
521,KUCAT_2019_259,920,communication
522,KUCAT_2019_260,495,ce
523,KUCAT_2019_261,626,ce
524,KUCAT_2019_262,649,ce
525,KUCAT_2019_263,863,civil
526,KUCAT_2019_264,798,arch
527,KUCAT_2019_265,1044,civil
528,KUCAT_2019_266,561,civil
529,KUCAT_2019_267,474,ce
530,KUCAT_2019_268,788,power
531,KUCAT_2019_269,891,arch
532,KUCAT_2019_270,546,ce
533,KUCAT_2019_271,773,civil
534,KUCAT_2019_272,745,civil
535,KUCAT_2019_273,869,communication
536,KUCAT_2019_274,580,ce
537,KUCAT_2019_275,925,civil
538,KUCAT_2019_276,855,ce
539,KUCAT_2019_277,736,civil
540,KUCAT_2019_278,651,arch
541,KUCAT_2019_279,874,auto
542,KUCAT_2019_280,722,civil
543,KUCAT_2019_281,819,communication
544,KUCAT_2019_282,955,civil
545,KUCAT_2019_283,751,ce
546,KUCAT_2019_284,723,pharma
547,KUCAT_2019_285,679,pharma
548,KUCAT_2019_286,678,ce
549,KUCAT_2019_287,880,communication
550,KUCAT_2019_288,482,ce
551,KUCAT_2019_289,667,pharma
