Year,ID,Exam Type,Score,Program
2019,KUCAT_2019_142,KUCAT-PCM,666,CE
2019,KUCAT_2019_143,KUCAT-PCM,593,Power
2019,KUCAT_2019_144,KUCAT-PCM,618,Civil
2019,KUCAT_2019_145,KUCAT-PCM,764,Arch
2019,KUCAT_2019_146,KUCAT-PCB,843,Pharma
2019,KUCAT_2019_147,KUCAT-PCM,790,Civil
2019,KUCAT_2019_148,KUCAT-PCM,1075,Arch
2019,KUCAT_2019_149,KUCAT-PCM,813,Civil
2019,KUCAT_2019_150,KUCAT-PCM,1050,Civil
2019,KUCAT_2019_151,KUCAT-PCM,596,CE
2019,KUCAT_2019_152,KUCAT-PCM,1045,CE
2019,KUCAT_2019_153,KUCAT-PCM,995,Computational
2019,KUCAT_2019_154,KUCAT-PCB,510,Pharma
2019,KUCAT_2019_155,KUCAT-PCM,528,Civil
2019,KUCAT_2019_156,KUCAT-PCB,540,Pharma
2019,KUCAT_2019_157,KUCAT-PCM,949,CE
2019,KUCAT_2019_158,KUCAT-PCM,845,Civil
2019,KUCAT_2019_159,KUCAT-PCB,368,Pharma
2019,KUCAT_2019_160,KUCAT-PCM,1047,Civil
2019,KUCAT_2019_161,KUCAT-PCM,603,Civil
2019,KUCAT_2019_162,KUCAT-PCM,655,Civil
2019,KUCAT_2019_163,KUCAT-PCM,1012,Civil
2019,KUCAT_2019_164,KUCAT-PCM,787,CE
2019,KUCAT_2019_165,KUCAT-PCM,856,CS
2019,KUCAT_2019_166,KUCAT-PCM,1025,CE
2019,KUCAT_2019_167,KUCAT-PCM,562,CE
2019,KUCAT_2019_168,KUCAT-PCM,697,Civil
2019,KUCAT_2019_169,KUCAT-PCB,736,Bio
2019,KUCAT_2019_170,KUCAT-PCM,534,CS
2019,KUCAT_2019_171,KUCAT-PCM,381,CS
2019,KUCAT_2019_172,KUCAT-PCM,891,Arch
2019,KUCAT_2019_173,KUCAT-PCM,700,Design
2019,KUCAT_2019_174,KUCAT-PCM,902,CE
2019,KUCAT_2019_175,KUCAT-PCM,711,CE
2019,KUCAT_2019_176,KUCAT-PCM,513,Arch
2019,KUCAT_2019_177,KUCAT-PCM,951,CE
2019,KUCAT_2019_178,KUCAT-PCM,752,Geo
2019,KUCAT_2019_179,KUCAT-PCM,479,Design
2019,KUCAT_2019_180,KUCAT-PCB,475,Pharma
2019,KUCAT_2019_181,KUCAT-PCM,707,CE
2019,KUCAT_2019_182,KUCAT-PCM,780,Arch
2019,KUCAT_2019_183,KUCAT-PCM,715,CE
2019,KUCAT_2019_184,KUCAT-PCM,741,CS
2019,KUCAT_2019_185,KUCAT-PCM,801,Civil
2019,KUCAT_2019_186,KUCAT-PCM,1064,CE
2019,KUCAT_2019_187,KUCAT-PCM,864,Hydro
2019,KUCAT_2019_188,KUCAT-PCM,712,CE
2019,KUCAT_2019_189,KUCAT-PCM,756,Civil
2019,KUCAT_2019_190,KUCAT-PCB,560,Bio
2019,KUCAT_2019_191,KUCAT-PCM,686,Civil
2019,KUCAT_2019_192,KUCAT-PCM,881,CE
2019,KUCAT_2019_193,KUCAT-PCB,489,Pharma
2019,KUCAT_2019_194,KUCAT-PCM,671,Civil
2019,KUCAT_2019_195,KUCAT-PCM,945,CS
2019,KUCAT_2019_196,KUCAT-PCM,774,CE
2019,KUCAT_2019_197,KUCAT-PCM,851,Arch
2019,KUCAT_2019_198,KUCAT-PCM,462,Energy
2019,KUCAT_2019_199,KUCAT-PCB,675,Pharma
2019,KUCAT_2019_200,KUCAT-PCB,497,Bio
2019,KUCAT_2019_201,KUCAT-PCM,815,Civil
2019,KUCAT_2019_202,KUCAT-PCM,773,Civil
2019,KUCAT_2019_203,KUCAT-PCM,837,Communication
2019,KUCAT_2019_204,KUCAT-PCM,699,Civil
2019,KUCAT_2019_205,KUCAT-PCM,494,Civil
2019,KUCAT_2019_206,KUCAT-PCM,725,CE
2019,KUCAT_2019_207,KUCAT-PCM,496,Civil
2019,KUCAT_2019_208,KUCAT-PCM,707,Geo
2019,KUCAT_2019_209,KUCAT-PCM,888,Chem
2019,KUCAT_2019_210,KUCAT-PCM,501,CE
2019,KUCAT_2019_211,KUCAT-PCM,884,Auto
2019,KUCAT_2019_212,KUCAT-PCM,1117,Civil
2019,KUCAT_2019_213,KUCAT-PCM,490,CE
2019,KUCAT_2019_214,KUCAT-PCM,886,Design
2019,KUCAT_2019_215,KUCAT-PCB,697,Pharma
2019,KUCAT_2019_216,KUCAT-PCM,961,Civil
2019,KUCAT_2019_217,KUCAT-PCM,670,Communication
2019,KUCAT_2019_218,KUCAT-PCM,654,Arch
2019,KUCAT_2019_219,KUCAT-PCM,824,Civil
